央视|肥羊,#genre#
CCTV1综合,http://127.0.0.1:35456/gaoma/cctv1.m3u8#http://127.0.0.1:35456/itv/5000000004000002226.m3u8?cdn=bestzb#http://127.0.0.1:35456/itv/6000000001000029752.m3u8?cdn=wasusyt#http://127.0.0.1:35456/itv/1000000001000018602.m3u8?cdn=ystenlive#http://127.0.0.1:35456/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV2财经,http://127.0.0.1:35456/gaoma/cctv2.m3u8#http://127.0.0.1:35456/itv/5000000011000031101.m3u8?cdn=bestzb#http://127.0.0.1:35456/itv/6000000001000014161.m3u8?cdn=wasusyt#http://127.0.0.1:35456/itv/1000000001000023315.m3u8?cdn=ystenlive#http://127.0.0.1:35456/itv/1000000005000265002.m3u8?cdn=ystenlive
CCTV3综艺,http://127.0.0.1:35456/gaoma/cctv3.m3u8#http://127.0.0.1:35456/itv/5000000004000008883.m3u8?cdn=bestzb#http://127.0.0.1:35456/itv/6000000001000022313.m3u8?cdn=wasusyt#http://127.0.0.1:35456/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV4中文国际,http://127.0.0.1:35456/gaoma/cctv4.m3u8#http://127.0.0.1:35456/itv/5000000011000031102.m3u8?cdn=bestzb#http://127.0.0.1:35456/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV5体育,http://127.0.0.1:35456/gaoma/cctv5.m3u8#http://127.0.0.1:35456/itv/6000000001000016431.m3u8?cdn=wasusyt#http://127.0.0.1:35456/itv/1000000005000265005.m3u8?cdn=ystenlive#http://127.0.0.1:35456/itv/1000000005000025222.m3u8?cdn=ystenlive
CCTV5+体育赛事,http://127.0.0.1:35456/gaoma/cctv5p.m3u8#http://127.0.0.1:35456/itv/6000000001000015875.m3u8?cdn=wasusyt#http://127.0.0.1:35456/itv/1000000005000265016.m3u8?cdn=ystenlive

CCTV6电影,http://127.0.0.1:35456/itv/6000000001000004574.m3u8?cdn=wasusyt#http://127.0.0.1:35456/itv/1000000001000001737.m3u8?cdn=ystenlive#http://127.0.0.1:35456/itv/1000000005000265006.m3u8?cdn=ystenlive

CCTV7国防军事,http://127.0.0.1:35456/gaoma/cctv7.m3u8#http://127.0.0.1:35456/itv/6000000001000009055.m3u8?cdn=wasusyt#http://127.0.0.1:35456/itv/1000000001000024341.m3u8?cdn=ystenlive#http://127.0.0.1:35456/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV8电视剧,http://127.0.0.1:35456/gaoma/cctv8.m3u8#http://127.0.0.1:35456/itv/6000000001000001070.m3u8?cdn=wasusyt#http://127.0.0.1:35456/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV9纪录,http://127.0.0.1:35456/gaoma/cctv9.m3u8#http://127.0.0.1:35456/itv/6000000001000032162.m3u8?cdn=wasusyt#http://127.0.0.1:35456/itv/1000000001000014583.m3u8?cdn=ystenlive#http://127.0.0.1:35456/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV10科教,http://127.0.0.1:35456/gaoma/cctv10.m3u8#http://127.0.0.1:35456/itv/5000000004000012827.m3u8?cdn=bestzb#http://127.0.0.1:35456/itv/6000000001000031506.m3u8?cdn=wasusyt#http://127.0.0.1:35456/itv/1000000001000023734.m3u8?cdn=ystenlive#http://127.0.0.1:35456/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV11戏曲,http://127.0.0.1:35456/gaoma/cctv11.m3u8#http://127.0.0.1:35456/itv/5000000011000031106.m3u8?cdn=bestzb#http://127.0.0.1:35456/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV12社会与法,http://127.0.0.1:35456/gaoma/cctv12.m3u8#http://127.0.0.1:35456/itv/6000000001000022586.m3u8?cdn=wasusyt#http://127.0.0.1:35456/itv/1000000001000032494.m3u8?cdn=ystenlive@http://127.0.0.1:35456/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV13新闻,http://127.0.0.1:35456/gaoma/cctv13.m3u8#http://127.0.0.1:35456/itv/5000000011000031108.m3u8?cdn=bestzb
